               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.029696,             0.03004,            0.006606,             0.57993,             0.69609,             0.62562,             0.43781,            0.026045,             0.01824,           0.0073473,            0.008682,            0.008682,            0.008682
                 127,             0.03534,            0.027489,           0.0071203,             0.64331,             0.71511,             0.63613,              0.4779,            0.025223,            0.018167,           0.0065019,           0.0086619,           0.0086619,           0.0086619
                 128,            0.032464,            0.029209,           0.0078188,             0.65473,             0.61924,             0.62171,             0.40291,            0.027155,              0.0179,           0.0062742,           0.0086417,           0.0086417,           0.0086417
                 129,            0.031468,            0.028393,           0.0075683,             0.65924,             0.59958,              0.6343,             0.46416,            0.021485,            0.018275,           0.0066508,           0.0086214,           0.0086214,           0.0086214
                 130,            0.028791,            0.033706,           0.0083063,             0.65857,             0.58163,             0.63446,             0.48983,            0.020241,            0.018861,           0.0063947,            0.008601,            0.008601,            0.008601
                 131,            0.028856,            0.030659,           0.0064279,             0.64459,             0.53479,             0.60517,             0.42658,            0.031984,             0.01845,           0.0061979,           0.0085805,           0.0085805,           0.0085805
                 132,            0.034149,            0.027833,            0.006893,             0.54516,             0.65141,             0.63512,             0.41245,            0.024708,            0.018266,           0.0064493,           0.0085598,           0.0085598,           0.0085598
                 133,            0.030063,            0.031712,           0.0076023,             0.58352,             0.72927,             0.64341,             0.48692,            0.023956,            0.018084,           0.0064283,            0.008539,            0.008539,            0.008539
                 134,            0.027884,            0.025636,           0.0076834,             0.60581,              0.7386,             0.64402,             0.50439,            0.024092,            0.017948,           0.0060076,           0.0085181,           0.0085181,           0.0085181
                 135,             0.02903,            0.029701,           0.0062485,             0.58445,             0.72399,             0.62656,             0.47056,            0.024683,            0.018762,            0.005767,           0.0084971,           0.0084971,           0.0084971
                 136,            0.030416,            0.028237,           0.0072303,              0.5735,             0.75366,             0.63356,             0.49291,            0.023095,             0.01811,           0.0062882,           0.0084759,           0.0084759,           0.0084759
                 137,            0.032085,            0.028939,           0.0061009,              0.6642,              0.7121,             0.63959,             0.42401,            0.029275,            0.017633,           0.0064318,           0.0084546,           0.0084546,           0.0084546
                 138,             0.03589,              0.0298,           0.0064907,             0.62018,              0.7257,             0.64395,             0.50136,            0.023269,            0.017985,           0.0060638,           0.0084333,           0.0084333,           0.0084333
                 139,            0.030454,            0.030094,            0.007401,             0.61608,             0.67324,             0.64876,             0.46375,            0.021648,            0.018612,            0.006904,           0.0084118,           0.0084118,           0.0084118
                 140,             0.03027,            0.030241,           0.0070509,              0.6269,             0.73436,             0.64302,              0.4694,            0.024056,            0.018126,           0.0068955,           0.0083901,           0.0083901,           0.0083901
                 141,            0.030133,            0.028332,           0.0069959,             0.64702,             0.73671,             0.64692,              0.5063,            0.021305,            0.018165,           0.0062217,           0.0083684,           0.0083684,           0.0083684
                 142,             0.02739,            0.028051,            0.007187,             0.65489,             0.73496,             0.64069,             0.50866,            0.018512,            0.018146,            0.006101,           0.0083466,           0.0083466,           0.0083466
                 143,            0.026378,            0.029207,           0.0055499,             0.64628,             0.72995,             0.63232,              0.4877,            0.021624,             0.01793,           0.0061354,           0.0083246,           0.0083246,           0.0083246
                 144,            0.027168,            0.027774,           0.0074257,             0.67986,             0.72246,              0.6476,             0.50198,            0.019521,            0.018196,           0.0063086,           0.0083025,           0.0083025,           0.0083025
                 145,            0.025948,            0.026798,            0.007531,             0.64124,             0.74058,             0.63642,             0.48313,            0.019517,            0.018373,           0.0067856,           0.0082804,           0.0082804,           0.0082804
                 146,            0.025815,            0.027344,           0.0061258,             0.63082,             0.74179,              0.6158,              0.4759,            0.021893,             0.01802,           0.0070017,           0.0082581,           0.0082581,           0.0082581
                 147,            0.028564,            0.029768,           0.0064561,             0.65018,             0.71713,             0.62611,             0.52177,            0.019781,            0.017773,           0.0065995,           0.0082357,           0.0082357,           0.0082357
                 148,            0.026442,            0.026875,           0.0079977,             0.64967,             0.70897,             0.64456,             0.49809,            0.022593,            0.017592,           0.0064588,           0.0082132,           0.0082132,           0.0082132
                 149,            0.025998,            0.027466,           0.0079023,             0.68135,             0.68903,              0.6461,             0.49944,            0.020679,            0.017464,           0.0063682,           0.0081906,           0.0081906,           0.0081906
                 150,            0.025749,            0.031646,           0.0072673,              0.6767,             0.69168,              0.6494,             0.52097,            0.017715,            0.018075,           0.0062861,           0.0081679,           0.0081679,           0.0081679
                 151,             0.02401,             0.02899,           0.0061227,             0.65272,              0.7191,             0.64664,             0.47897,            0.023227,            0.017463,           0.0061203,            0.008145,            0.008145,            0.008145
                 152,            0.026485,            0.028189,           0.0074508,             0.66065,             0.71365,             0.64923,             0.50854,            0.018666,            0.017933,           0.0062148,           0.0081221,           0.0081221,           0.0081221
                 153,            0.025643,            0.028234,           0.0059341,             0.66082,             0.69906,             0.64635,              0.5039,            0.022128,            0.017744,           0.0061914,           0.0080991,           0.0080991,           0.0080991
                 154,            0.026852,            0.029324,           0.0073293,             0.65385,             0.72325,              0.6422,             0.47432,            0.019487,            0.017975,           0.0058609,           0.0080759,           0.0080759,           0.0080759
                 155,            0.027807,            0.032486,           0.0064283,             0.68001,             0.72433,             0.64921,             0.51213,            0.019997,            0.017791,           0.0053727,           0.0080527,           0.0080527,           0.0080527
                 156,            0.026561,            0.028135,           0.0058958,             0.65697,               0.734,             0.65083,             0.52761,            0.019697,            0.018099,           0.0053142,           0.0080294,           0.0080294,           0.0080294
                 157,            0.025195,            0.026905,           0.0057017,             0.68286,             0.71404,             0.64583,             0.51401,            0.020677,            0.018044,           0.0052261,           0.0080059,           0.0080059,           0.0080059
